Company Name,Category,Location,Phone,Email,Website,Contact Person,Specialisation,Priority,Notes
ACI (Advanced Commercial Interiors),Office Fit-Out,Nottingham UK,0115 939 7572,info@aci.uk.net,aci.uk.net,,Office design fit-out refurbishment,Tier 1,Near Caldwell UK office
Eos Interiors,Office Fit-Out,"Birmingham B1 3ED",0845 026 8790,info@eosinteriors.co.uk,eosinteriors.co.uk,,Commercial fit-out and refurbishment,Tier 1,Midlands-based
Rap Interiors,Office Fit-Out,UK,,,rapinteriors.co.uk,,Offices schools healthcare interiors,Tier 1,Family-run multi-sector
Spectrum Interiors,Office Fit-Out,"Cheshire Lancashire Wales",01244 333 488,info@spectruminteriors.co.uk,spectruminteriors.co.uk,,Office fit-outs commercial refurbishment,Tier 1,North West coverage
Proici Commercial Interiors,Office Fit-Out,"Newark Nottingham Birmingham Bristol Manchester",0800 043 4516,,proici.co.uk,,Commercial interior design installation,Tier 1,Industry leaders national
Creative Office & Commercial Interiors,Office Fit-Out,"Buckinghamshire Berkshire Hertfordshire",01494 873347,,creativeoandcinteriors.co.uk,,Office fit-out and furniture,Tier 1,Home Counties region
Morre Interiors,Office Fit-Out,London Essex,,,morre.co.uk,,Interior design fit-out refurbishment,Tier 1,London Essex presence
Vanguard Contracts,Office Fit-Out,UK,,,vanguardcontracts.co.uk,,Design and build retail commercial industrial,Tier 1,Multi-sector contractor
Oktra,Office Fit-Out,London UK,,,oktra.co.uk,,Award-winning office refurbishment,Tier 1,UK leading office refurb
Office Principles (OP Group),Office Fit-Out,"Birmingham London Manchester",0118 9131811,,officeprinciples.com,,Workplace office refurbishment,Tier 1,35+ years experience
Prime Solutions UK,Office Fit-Out,Birmingham West Midlands,,,primesolutionsuk.com,,Office refurbishment,Tier 1,Birmingham specialist
BrookhouseUK,Office Fit-Out,"Birmingham Manchester London Bristol Glasgow Cardiff",0345 383 0050,,brookhouseuk.com,,Office fit-out interior design,Tier 1,45+ years national presence
Blok Projects,Office Fit-Out,"Manchester M2 3HQ London Soho",0161 452 3668,info@blokprojects.com,blokprojects.com,,Office refurbishment fit-out,Tier 1,Dual-city presence
Peldon Rose,Office Fit-Out,London,,,peldonrose.com,,Office refurbishment design,Tier 1,30+ years London expertise
Maris Interiors,Office Fit-Out,UK,,,maris.co.uk,,Workplace design and build,Tier 1,UKs biggest design build company
Drywall Contracts Ltd,Ceiling Contractor,Northampton,01604 521119,,drywallcontracts.co.uk,,Ceilings and partitions,Tier 1,Direct ceiling installer
Taylor Hart Ltd,Ceiling Contractor,Birmingham,01676 522422,,taylorhart.co.uk,,Drylining partitions suspended ceilings fire protection,Tier 1,20 years experience UK-wide
TPLS Interiors Ltd,Ceiling Contractor,London,,,tpls.co.uk,,Dry-lining suspended ceilings,Tier 1,18+ years uses Armstrong British Gypsum Ecophon
Celtic Contractors,Ceiling Contractor,UK,,,celticcontracts.co.uk,,Drywall partitions suspended ceiling installation,Tier 1,Market-leader suspended ceilings
The Invicta Group,Ceiling Contractor,UK,,,theinvictagroup.co.uk,,Ceilings partitions plastering drylining Durasteel,Tier 1,20 years expertise
ASH Drywall,Ceiling Contractor,UK,,,ashdrywall.co.uk,,Metal stud glazed MF ceilings timber ceilings,Tier 1,Commercial residential
Specialist Interiors,Ceiling Contractor,Essex London,,,officeceilingsandpartitions.com,,Suspended ceilings partitions drylining glass,Tier 1,Film studio acoustic expertise
Igloo Contractors,Ceiling Contractor,UK Yorkshire,,,igloocontractors.co.uk,,Suspended ceiling systems,Tier 1,NHS Santander Willmott Dixon clients
Pacy & Wheatley Interiors,Ceiling Contractor,Nationwide London to Scotland,,,pacy-wheatley-interiors.co.uk,,Suspended ceiling acoustic solutions,Tier 1,Rolls Royce Bank of England clients
Diamond Interior Contracts,Ceiling Contractor,London Kent,,,diamondinteriorcontracts.co.uk,,Commercial ceiling installation,Tier 1,Zentia approved partner
Sapphire Refurbishments,Ceiling Contractor,London Kent South East,,,sapphirerefurbishments.co.uk,,Suspended ceilings offices schools warehouses,Tier 1,25 years experience
Barnes Interiors Ltd,Ceiling Contractor,Essex London,,,barnesinteriors.co.uk,,Suspended ceilings office fit-outs,Tier 1,AMF Premier Dealer Armstrong Omega Approved
Fulwell Ceiling Contracts Ltd,Ceiling Contractor,Sunderland North East,,,fcc-ltd.co.uk,,Ceiling partition installations,Tier 1,Est 1981 50+ years CHAS approved
Willmott Dixon Interiors,Main Contractor,London UK,07365238496,Jolene.McLaren@willmottdixon.co.uk,willmottdixoninteriors.co.uk,Jolene McLaren (Midlands BD),Interior fit-out refurbishment,Tier 1,Major UK contractor
Overbury,Main Contractor,"London Birmingham Manchester Bracknell Leeds Glasgow",,,overbury.com,,Office fit-out,Tier 1,Leading UK office fit-out
ISG,Main Contractor,UK International,,,isgplc.com,,Fit-out and construction,Tier 1,Major UK fit-out contractor
Mace Group,Main Contractor,UK International,,,macegroup.com,,Construction consultancy,Tier 1,Top 10 UK contractor
Morgan Sindall Construction,Main Contractor,UK,,,morgansindallconstruction.com,,Healthcare education commercial,Tier 1,NHS Trust projects
Kier Group,Main Contractor,UK,,,kier.co.uk,,Construction infrastructure,Tier 1,104 projects £2.9bn
Balfour Beatty,Main Contractor,UK International,,,balfourbeatty.com,,Major infrastructure construction,Tier 1,One of UKs largest
Skanska UK,Main Contractor,UK,,,skanska.co.uk,,Construction data centres MEP fit-out,Tier 1,Global leader sustainability
Wates Group,Main Contractor,UK,,,wates.co.uk,,Construction development,Tier 1,Major UK construction group
Laing ORourke,Main Contractor,UK International,,,laingorourke.com,,Construction manufacturing,Tier 1,UKs largest privately-owned
Tilbury Douglas,Main Contractor,UK,,,tilburydouglas.co.uk,,Healthcare construction refurbishment,Tier 1,Primary care to acute hospitals
McLaren Group,Main Contractor,UK International,,,mclarengroup.com,,Healthcare data centres,Tier 1,Major sector expertise
Clegg Construction,Main Contractor,UK,0115 841 3121,foodprojects@clegggroup.co.uk,cleggconstruction.co.uk,,Industrial logistics manufacturing,Tier 1,90 years experience
Harvey Fit-Out Group,Main Contractor,UK,,,harveyshopfitters.co.uk,,Retail leisure commercial fit-out,Tier 1,Est 1981 £53m turnover top 20
SevenCapital,Property Developer,"Birmingham London",+44 121 233 4433,,sevencapital.com,,Commercial residential development,Tier 3,Looking for new opportunities
