Company Name,Location,Phone,Email,Website,Services,Size/Notes,Outreach Angle
Hudson Structural Design Ltd,"40 Sidney Rd, Beeston, Nottingham NG9 1AN",07596 258286,,hudsonstructuraldesign.co.uk,"Structural design, residential & commercial",Small independent firm est. 2018 - Google 5.0 rating,AI can automate structural calcs & report generation to scale output
Construction Design Solutions Ltd (CDS Consulting),"78 Wollaton Rd, Beeston, Nottingham NG9 2NZ",0115 922 9491,quote@cdsconsulting.co.uk / design@cdsconsulting.co.uk,cdsconsulting.co.uk,"Civil, structural, highway & drainage engineering",Multi-disciplined consultancy est. 2005 - Google 5.0 rating,AI-driven design automation & project management efficiency
GMB Consultancy Ltd,"16 Commerce Square, Lace Market, Nottingham NG1 1HS",0115 6662004,gmb@gmbconsultancy.co.uk,gmbconsultancy.co.uk,"Structural design, surveys, calculations",Small practice covering Nottingham/Derby/Leicester/Sheffield/Birmingham,AI calcs & automated structural report drafting to increase throughput
IKT Consulting Engineers Ltd,"6 David Lane, Nottingham NG6 0JU",0115 697 6006,info@iktconsulting.co.uk,iktconsulting.co.uk,"Structural inspections, design, reports - domestic & commercial",Small firm - highly rated for fast turnaround,AI document generation & automated building reg compliance checks
Moran Structural Consultants Ltd,"30 High Street, Arnold, Nottingham NG5 7DZ",0115 926 3333,info@moransc.co.uk,moransc.co.uk,"Structural design, surveys, underpinning assessment, advanced analysis",Independent practice est. 2011,AI structural analysis & automated reporting to expand capacity
PS Structural Limited,"58 Bagnall Road, Nottingham NG6 0JX",07848 851058,p.shah@psstructuralltd.co.uk,psstructuralltd.co.uk,"Residential, commercial & industrial structural engineering",Small specialist firm - CEng MIStructE MICE,AI-powered calcs & automated drawing schedules to win more projects
KSA (Keith Simpson Associates Ltd),"Unit 7c, Colwick Quays Business Park, Rd No 2, Colwick, Nottingham NG4 2JY",0115 967 3100,post@ksastructures.co.uk,ksastructures.co.uk,"Civil & structural engineering - public & private sector",Established Nottingham practice,AI project management & BIM integration to modernise workflows
Andy Mann Structural Design Ltd (AMSD),"Unit 7 Landmere Lane, Edwalton, Nottingham NG12 4DG",0115 985 9386,,amsd.co.uk,"Structural engineering - extensions, loft conversions, steel frames",Established East Midlands firm est. 2011,AI estimation & automated structural design to reduce turnaround
BSP Consulting,"12 Oxford Street, Nottingham NG1 5BG",0345 413 4000,c.hilton@bsp-consulting.co.uk,bsp-consulting.co.uk,"Civil, structural, transport, geotechnical, environmental engineering","Award-winning firm est. 1999 - offices in Nottingham, Derby, Leicester, Sheffield",AI-driven multi-disciplinary workflow automation & predictive analysis
TSK Consulting,"3 Plumptre Street, Nottingham NG1 1JL",,,tskconsulting.co.uk,"Structural & civil engineering, flood risk, transport",Niche practice est. 2016 - innovative design focus,AI-enhanced design optimisation & environmental reporting automation
BIDE Consulting Ltd,"11 Harewood Close, Sandiacre, Nottingham NG10 5PL",,,bide-consulting.co.uk,"Civil & structural engineering - new builds, extensions",Chartered engineering consultancy near Long Eaton,AI calcs & automated building control submissions to scale
Bargate Design Ltd,"141 Sandbed Lane, Belper, Derbyshire DE56 0SL",07943 157918,,bargatedesign.co.uk,"Steel beam design, extensions, loft conversions, new builds",Small consultancy - 14 years experience - serves Derby/Nottingham,AI structural design & automated beam calcs to take on more work
BK Consultants Ltd,"Derbyshire (exact address via website)",,,bkconsultantsltd.co.uk,"Structural inspections, maintenance, subsidence assessments, calcs",Established 1987 - 40+ years experience - CEng MICE MIStructE,AI survey analysis & automated report generation to modernise practice
GCA (UK) Ltd,"Babington Lodge, 128 Green Lane, Derby DE1 1RY",01332 362411,derby@gca-consulting.com,gca-consulting.com,"Civil, structural, highway engineering",Family-run est. 1975 - offices Derby/Leicester/Warwick/Milton Keynes - ISO certified,AI-powered multi-office workflow coordination & design automation
TKA Limited (Tom Keating and Associates),"Derby (exact address via website)",,,tkalimited.com,"Civil & structural engineering - commercial & domestic",Chartered engineers - Derby-based working nationally,AI structural calcs & project pipeline automation
Hilltop Engineers Ltd,"Grass Road Close, Bolsover, Chesterfield S44 6WH",07838 297991,admin@hilltopengineers.co.uk,hilltopengineers.co.uk,"Structural design, inspections, surveys, reports",Small consultancy covering Midlands & Yorkshire,AI-powered defect analysis & automated survey reporting
Rodgers Leask,"Derby (HQ), also Nottingham, Birmingham, Bristol, Liverpool",, rllderby@rodgersleask.co.uk,rodgersleask.com,"Civil, structural, geotechnical, geo-environmental, transport","Award-winning multi-disciplinary - 85+ staff, 5 offices",AI for large-scale project optimisation & predictive geotechnical analysis
HNT Consulting Engineers,"Union House, 111 New Union Street, Coventry CV1 2NT",,,hntconsulting.co.uk,"Structural engineering - residential, industrial, commercial",Chartered practice - 30 years experience - serves East Midlands,AI design automation & client portal for faster project delivery
Simplify Structures Ltd,"6 Frederick Street, Unit 7, Wigston LE18 1PJ",0116 218 2917,,simplifystructures.co.uk,"Wall removal, extensions, loft conversions - fixed-price residential",Chartered engineers covering Derby/Nottingham/Leicester/Coventry,AI-driven instant quoting & automated structural calcs for volume growth
PRP Consulting Engineers & Surveyors,"Park House, 21-22 Warren Park Way, Enderby, Leicester LE19 4SA",0116 275 1710,leicester@prp.uk.com,prp.uk.com,"Civil & structural engineering, surveying, flood risk, geo-environmental",Independent multi-disciplinary consultancy est. 1985,AI for cross-discipline project coordination & automated compliance reporting
CR Steel Limited,"Home Barn Farm, Frolesworth Road, Sharnford, Leicestershire LE10 3AD",01455 272505,Info@crsteel.co.uk,crsteel.co.uk,"Steel frame fabrication, design & installation, welder training",30+ years experience - BS EN 1090 certified,AI for fabrication scheduling & automated structural steel design
Allcott Associates LLP,"15 Wheeler Gate, Nottingham NG1 2NA",0333 200 7198,info@allcottassociates.co.uk,allcottassociates.co.uk,"RICS building surveys, structural engineering, HomeBuyer reports",Leading national surveying & engineering firm,AI-powered survey analysis & automated defect reporting
STRUKTEE Ltd,"Britannia Road, Banbury OX16 5DE",,,struktee.com,"Structural design & detailing - housing, apartments, schools, offices",Engineering consultancy covering Midlands,AI for automated detailing & bar schedule generation
