Business Name,Address,City/Area,Postcode,Phone,Website,Decision Maker,Decision Maker Role,Social Media/LinkedIn,Booking System,Automation Opportunity,Priority
2nd Dimension Hair,178 Derby Rd,Stapleford,NG9 7AY,0115 939 8000,,,Owner,,Phone only,High - Phone only,High
Hair Affair,134 Derby Rd,Stapleford,NG9 7AY,0115 939 7187,,,Owner,,Phone only,High - Phone only,High
Deborah Williams Hair & Beauty,203 Pasture Road,Stapleford,NG9 8HZ,0115 939 5100,https://deborahwilliams.co.uk,Deborah Williams,Owner,Website,Website,Medium - Has website,Medium
Stapleford Hairdressing,162 Derby Rd,Stapleford,NG9 7AY,0115 939 6332,,,Owner,,Phone only,High - Phone only,High
Chrissy's Hair Salon,48B Derby Rd,Stapleford,NG9 7AA,,,,Chrissy (Owner),Fresha,Fresha,Low,Low
Stapleford Hairdressers,76A Derby Rd,Stapleford,NG9 7AB,,,,Owner,Fresha,Fresha,Low,Low
Magali Coiffure Et Beaute,152 Derby Rd,Stapleford,NG9 7AY,,,,Magali (Owner),,Unknown,Medium,Medium
Wax Hairdressing,229 Derby Rd,Stapleford,NG9 7AZ,,,,Owner,,Unknown,Medium,Medium
Laura's Hairdressers Mobile,Stapleford area,Stapleford,NG9,,https://laurashairdressers.co.uk,Laura,Owner,Website,Phone/Website,High - Mobile needs scheduling,High
Hair Kandi,Sandiacre,Sandiacre,NG10,,https://hairkandisandiacre.co.uk,Becca & Sam,Owners (15+ years),Website,Website,Medium - Has website,Medium
Lauren Bedford Hair Studio,Sandiacre,Sandiacre,NG10 5AG,,,,Lauren Bedford (Owner),,Unknown,Medium,Medium
Simply Hair and Beauty Lounge,263 Derby Road,Bramcote,NG9 3JA,,,,Owner,Fresha,Fresha,Low,Low
Flicks Hair,17 Woodstock Road Unit 2,Toton,NG9 6HW,,,,Owner,Fresha,Fresha,Low,Low
The Green Hairdressing Salon,Long Eaton,Long Eaton,NG10,,,,Owner,Fresha,Fresha,Low,Low
Ellie Dainty at Beautique,2b Station Road,Long Eaton,NG10 2DG,,,,Ellie Dainty (Owner),Fresha,Fresha,Low,Low
Urban Styles,13 Station Rd,Long Eaton,NG10 2DF,,,,Owner,,Unknown,Medium,Medium
JG Barbers Beeston,69 High Road,Beeston,NG9 2LE,01159 224365,https://jgbarbers.co.uk,,Owner,Website,Website,Low,Low
Christopher Berens Salon,6 Regent St,Beeston,NG9 2EA,,,,Christopher Berens (Owner),,Unknown,Medium,Medium
Robert Howes Hairdressing,2A Derby St,Beeston,NG9 2LG,,,,Robert Howes (Owner),,Unknown,Medium,Medium
Urban Therapy Aveda,City Centre,Nottingham,NG1,0115 950 5770,https://urbantherapyuk.com,,Owner,Instagram: @avedaurbantherapy,Website,Low - Premium salon,Low
Jacks & Buckley,Castle Gate,Nottingham,NG1,0115 950 1700,https://jacksandbuckley.com,,Owner (21+ years),Website,Website,Low - Established,Low
GOOSE Beauty,Lace Market,Nottingham,NG1,,,,Owner,,Unknown,Medium,Medium
Steele Hairdressing,City Centre,Nottingham,NG1,,,,Owner,,Unknown,Medium,Medium
KH Hair Nottingham,Castle Gate,Nottingham,NG1,0115 9472332,https://khhair-nottingham.co.uk,Darren Messias & Tim Fee,Joint MDs,Instagram: @khhair_nottingham,Website,Low - Major chain,Low
Trinity Hair & Beauty,Foreman Street Royal Zone,Nottingham,NG1,,https://trinityhairandbeauty.com,Kayleigh (18 yrs exp),Stylist/Owner,Website,Website,Medium - 40 years combined,Medium
EMB Salon,City Centre,Nottingham,NG1,,https://embsalon.co.uk,,Owner,Instagram: @embsalonnottingham,Website,Low - Specialist,Low
Toni&Guy Nottingham,City Centre,Nottingham,NG1,,https://toniandguy.com/salon/nottingham,,Manager,Instagram: @toniandguynottingham,Website,Low - Major chain,Low
Henfrey's Salon,City Centre overlooking Castle,Nottingham,NG1,,https://henfreys.co.uk,,Owner,Facebook/Instagram,Website,Medium - Self-employed stylists,Medium
Q Hairdressing,Hockley Creative Quarter,Nottingham,NG1,,https://qhairdressing.squarespace.com,,Owner (20+ years),Instagram/Facebook/Pinterest,Website,Medium - Squarespace site,Medium
Hairven Salon,Gedling/Beeston,Nottingham,NG4,,https://hairven-salon.co.uk,,Owner,Instagram: @hairven_salon,Website,Low - Award winning,Low
All Hair & Beauty,Nottingham,Nottingham,NG1,,,,Owner,Instagram: @allhairandbeauty,Unknown,Medium,Medium
Rush Hair Nottingham,Nottingham,Nottingham,NG1,,,,Manager,Instagram: @rush.nottingham,Website,Low - Major chain,Low
Fusion Hair Nottingham,Nottingham,Nottingham,NG1,,,,Owner,Instagram: @fusion.hairandbeauty,Unknown,Medium - Award winning,Medium
Bliss Hair Salon Sherwood,658 Mansfield Road,Sherwood,NG5,,https://blisshair.com,Nick,Owner (40+ yrs),Website,Website,Low - Established,Low
Bliss Hair Salon Nottingham,Nottingham,Nottingham,NG1,,https://blisshair.com,Nick,Owner,Website,Website,Low,Low
M Hair and Beauty,906 Woodborough Road,Mapperley,NG3,,https://mhairandbeauty.com,,Owner,Fresha,Fresha,Low,Low
A J Richardson,Arnold & Mapperley,Arnold,NG5,,https://ajrichardson.co.uk,,Owner (Est. 1999),Website,Website,Medium - Aveda stockist,Medium
Inspire Hair,20 Plains Road,Mapperley,NG3,,,,Owner,Fresha,Fresha,Low,Low
Studio 918,Mapperley,Mapperley,NG3,,,,Owner,Treatwell,Treatwell,Low,Low
Emily's Touch,45 Plains Road,Mapperley,NG3 5JU,,https://emilystouch.com,Emily,Owner,Website,Website,Medium,Medium
Gideline Beauty Lounge,88 Nottingham Road,Arnold,NG5,,,,Owner,,Unknown,Medium,Medium
Sia's,128 Front St,Arnold,NG5 7EG,,,,Owner,Fresha,Fresha,Low,Low
H&M Hair and Beauty,Sherwood,Sherwood,NG5,,,,Owner,,Unknown,Medium,Medium
Beehive Hair Design,West Bridgford,West Bridgford,NG2,0115 981 1202,https://beehivehairdesign.co.uk,,Owner,Website,Website,Medium - Recently moved,Medium
